zipcode,country,state,state_full,county,latitude-zip,longitude-zip,nearest-airport,latitude-air,longitude-air,distance
64438,US,MO,Missouri,Gentry,40.1955,-94.4049,KMCI,39.2976,-94.713898,103.2776562906424
64439,US,MO,Missouri,Platte,39.5172,-94.7664,KMCI,39.2976,-94.713898,24.83153114561708
64440,US,MO,Missouri,Buchanan,39.5834,-94.927,KMCI,39.2976,-94.713898,36.67183145792782
64441,US,MO,Missouri,Worth,40.4181,-94.3066,KMCI,39.2976,-94.713898,129.35295904788956
64442,US,MO,Missouri,Harrison,40.4912,-93.9951,KDSM,41.534,-93.663101,119.25280440371532
64443,US,MO,Missouri,Buchanan,39.7517,-94.6582,KMCI,39.2976,-94.713898,50.719097774126006
64444,US,MO,Missouri,Platte,39.4742,-94.6352,KMCI,39.2976,-94.713898,20.769121828680035
64445,US,MO,Missouri,Nodaway,40.5185,-95.1236,KOMA,41.3032,-95.894096,108.65242377137923
64446,US,MO,Missouri,Atchison,40.3302,-95.3751,KOMA,41.3032,-95.894096,116.67477219645792
64448,US,MO,Missouri,Buchanan,39.5891,-94.7913,KMCI,39.2976,-94.713898,33.08775956044617
64449,US,MO,Missouri,Andrew,40.0142,-94.9555,KMCI,39.2976,-94.713898,82.3227670284539
64451,US,MO,Missouri,Holt,39.9897,-95.1916,KMCI,39.2976,-94.713898,87.151998295758
64453,US,MO,Missouri,Gentry,40.3411,-94.4142,KMCI,39.2976,-94.713898,118.82125162130608
64454,US,MO,Missouri,Clinton,39.602,-94.5965,KMCI,39.2976,-94.713898,35.31680924630077
64455,US,MO,Missouri,Nodaway,40.2012,-95.0121,KMCI,39.2976,-94.713898,103.65939649743017
64456,US,MO,Missouri,Worth,40.4924,-94.3979,KDSM,41.534,-93.663101,131.20598514483996
64457,US,MO,Missouri,Nodaway,40.1746,-94.6951,KMCI,39.2976,-94.713898,97.5311962887733
64458,US,MO,Missouri,Harrison,40.5219,-94.1691,KDSM,41.534,-93.663101,120.27796446778044
64459,US,MO,Missouri,Andrew,39.9295,-94.6465,KMCI,39.2976,-94.713898,70.50085482973851
64461,US,MO,Missouri,Nodaway,40.5483,-94.8189,KOMA,41.3032,-95.894096,123.31043108316618
64463,US,MO,Missouri,Gentry,40.0652,-94.5234,KMCI,39.2976,-94.713898,86.89603139886287
64465,US,MO,Missouri,Clinton,39.5177,-94.3093,KMCI,39.2976,-94.713898,42.51222863323681
64466,US,MO,Missouri,Holt,40.1991,-95.0927,KMCI,39.2976,-94.713898,105.34337975280576
64467,US,MO,Missouri,Harrison,40.3662,-94.1645,KMCI,39.2976,-94.713898,127.74777745107008
64468,US,MO,Missouri,Nodaway,40.3434,-94.8735,KMCI,39.2976,-94.713898,117.08371414689884
64469,US,MO,Missouri,DeKalb,39.9112,-94.3548,KMCI,39.2976,-94.713898,74.8441910412267
64470,US,MO,Missouri,Holt,40.1362,-95.2138,KMCI,39.2976,-94.713898,102.58326668876624
64471,US,MO,Missouri,Harrison,40.2444,-94.1786,KMCI,39.2976,-94.713898,114.78935211870647
64473,US,MO,Missouri,Holt,39.9809,-95.1234,KMCI,39.2976,-94.713898,83.68032282368169
64474,US,MO,Missouri,DeKalb,39.7912,-94.3974,KMCI,39.2976,-94.713898,61.22851689836395
64475,US,MO,Missouri,Nodaway,40.44,-94.6233,KMCI,39.2976,-94.713898,127.26415614539484
64476,US,MO,Missouri,Nodaway,40.4591,-94.8411,KOMA,41.3032,-95.894096,129.01941081093952
64477,US,MO,Missouri,Clinton,39.5705,-94.4338,KMCI,39.2976,-94.713898,38.72316416039636
64479,US,MO,Missouri,Nodaway,40.3579,-94.6805,KMCI,39.2976,-94.713898,117.93446790458296
64480,US,MO,Missouri,Andrew,40.0593,-94.7002,KMCI,39.2976,-94.713898,84.70528747549174
64481,US,MO,Missouri,Harrison,40.3999,-93.9575,KDSM,41.534,-93.663101,128.50562041826944
64482,US,MO,Missouri,Atchison,40.4306,-95.5274,KOMA,41.3032,-95.894096,101.81017746948864
64483,US,MO,Missouri,Andrew,40.0399,-94.8328,KMCI,39.2976,-94.713898,83.16500974096539
64484,US,MO,Missouri,Buchanan,39.5653,-95.0413,KMCI,39.2976,-94.713898,40.94803097854013
64485,US,MO,Missouri,Andrew,39.9168,-94.8267,KMCI,39.2976,-94.713898,69.526724071488
64486,US,MO,Missouri,Worth,40.4928,-94.5701,KMCI,39.2976,-94.713898,133.46509735033356
64487,US,MO,Missouri,Nodaway,40.2896,-95.0792,KMCI,39.2976,-94.713898,114.63544421601571
64489,US,MO,Missouri,Gentry,40.2293,-94.5387,KMCI,39.2976,-94.713898,104.67693010681027
64490,US,MO,Missouri,DeKalb,39.7984,-94.5175,KMCI,39.2976,-94.713898,58.176788906254856
64491,US,MO,Missouri,Atchison,40.4418,-95.3786,KOMA,41.3032,-95.894096,105.13333916663989
64492,US,MO,Missouri,Clinton,39.4871,-94.5512,KMCI,39.2976,-94.713898,25.28792234032853
64493,US,MO,Missouri,Clinton,39.6318,-94.2972,KMCI,39.2976,-94.713898,51.58029894128104
64494,US,MO,Missouri,DeKalb,39.9846,-94.5787,KMCI,39.2976,-94.713898,77.26307234577159
64496,US,MO,Missouri,Atchison,40.478,-95.6193,KOMA,41.3032,-95.894096,94.62070335251136
