Rank,RO,ST,Locid,City,airport_name,S/L,Hub,CY 21 Enplanements,CY 20 Enplanements,% Change
49,SO,KY,CVG,Hebron,Cincinnati/Northern Kentucky International,P,M,"3,050,597","1,729,395",76.40%
50,WP,HI,OGG,Kahului,Kahului,P,M,"2,933,315","1,135,141",158.41%
51,GL,OH,CMH,Columbus,John Glenn Columbus International,P,M,"2,825,259","1,577,596",79.09%
52,SO,FL,PBI,West Palm Beach,Palm Beach International,P,M,"2,567,897","1,518,732",69.08%
53,SO,FL,JAX,Jacksonville,Jacksonville International,P,M,"2,425,685","1,367,501",77.38%
54,NE,CT,BDL,Windsor Locks,Bradley International,P,M,"2,273,259","1,150,033",97.67%
55,GL,WI,MKE,Milwaukee,General Mitchell International,P,M,"2,231,010","1,263,385",76.59%
56,WP,CA,ONT,Ontario,Ontario International,P,M,"2,201,528","1,237,946",77.84%
57,AL,AK,ANC,Anchorage,Ted Stevens Anchorage International,P,M,"2,184,959","1,157,301",88.80%
58,SO,SC,CHS,Charleston,Charleston AFB/International,P,M,"2,015,277","944,660",113.33%
